id,date,year,quarter,month,month_name,day,week_of_year
1,2024-01-01,2024,1,1,January,1,1
2,2024-01-02,2024,1,1,January,2,1
3,2024-02-01,2024,1,2,February,1,5
4,2024-03-01,2024,1,3,March,1,9
5,2024-04-01,2024,2,4,April,1,14
6,2024-05-01,2024,2,5,May,1,18
7,2024-06-01,2024,2,6,June,1,22
8,2024-07-01,2024,3,7,July,1,27
9,2024-08-01,2024,3,8,August,1,31
10,2024-09-01,2024,3,9,September,1,35
11,2024-10-01,2024,4,10,October,1,40
12,2024-11-01,2024,4,11,November,1,44
13,2024-12-01,2024,4,12,December,1,48
